id,firstname,surname,year,category,affiliation,city,country,born_date,died_date,gender,born_city,born_country,born_country_code,died_city,died_country,died_country_code,overall_motivation,share,motivation,born_country_original,born_city_original,died_country_original,died_city_original,city_original,country_original
627,Juan Ramón,Jiménez,1956,Literature,NA,NA,NA,1881-12-24,1958-05-29,male,Moguer,Spain,ES,San Juan,Puerto Rico,PR,NA,1,"""for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity""",Spain,Moguer,Puerto Rico,San Juan,NA,NA
628,Albert,Camus,1957,Literature,NA,NA,NA,1913-11-07,1960-01-04,male,Mondovi,Algeria,DZ,Sens,France,FR,NA,1,"""for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",French Algeria (now Algeria),Mondovi,France,Sens,NA,NA
629,Boris,Pasternak,1958,Literature,NA,NA,NA,1890-02-10,1960-05-30,male,Moscow,Russia,RU,Peredelkino,Russia,RU,NA,1,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",Russia,Moscow,Russia,Peredelkino,NA,NA
630,Salvatore,Quasimodo,1959,Literature,NA,NA,NA,1901-08-20,1968-06-14,male,Modica,Italy,IT,Naples,Italy,IT,NA,1,"""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times""",Italy,Modica,Italy,Naples,NA,NA
631,Saint-John,Perse,1960,Literature,NA,NA,NA,1887-05-31,1975-09-20,male,Pointe-à-Pitre,Guadeloupe Island,GP,Presqu'île-de-Giens,France,FR,NA,1,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",Guadeloupe Island,Pointe-à-Pitre,France,Presqu'île-de-Giens,NA,NA
633,Ivo,Andric,1961,Literature,NA,NA,NA,1892-10-10,1975-03-13,male,Dolac,Bosnia and Herzegovina,BA,Belgrade,Serbia,RS,NA,1,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",Bosnia (now Bosnia and Herzegovina),Dolac,Yugoslavia (now Serbia),Belgrade,NA,NA
634,John,Steinbeck,1962,Literature,NA,NA,NA,1902-02-27,1968-12-20,male,Salinas CA,USA,US,New York NY,USA,US,NA,1,"""for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception""",USA,Salinas CA,USA,New York NY,NA,NA
635,Giorgos,Seferis,1963,Literature,NA,NA,NA,1900-03-13,1971-09-20,male,Izmir,Turkey,TR,Athens,Greece,GR,NA,1,"""for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture""",Ottoman Empire (now Turkey),Smyrna (now Izmir),Greece,Athens,NA,NA
637,Jean-Paul,Sartre,1964,Literature,NA,NA,NA,1905-06-21,1980-04-15,male,Paris,France,FR,Paris,France,FR,NA,1,"""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age""",France,Paris,France,Paris,NA,NA
638,Mikhail,Sholokhov,1965,Literature,NA,NA,NA,1905-05-24,1984-02-21,male,Veshenskaya,Russia,RU,Veshenskaya,Russia,RU,NA,1,"""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people""",Russia,Veshenskaya,USSR (now Russia),Veshenskaya,NA,NA
639,Shmuel,Agnon,1966,Literature,NA,NA,NA,1888-07-17,1970-02-17,male,Buchach,Ukraine,UA,Rehovot,Israel,IL,NA,2,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",Austria-Hungary (now Ukraine),Buczacz (now Buchach),Israel,Rehovot,NA,NA
640,Nelly,Sachs,1966,Literature,NA,NA,NA,1891-12-10,1970-05-12,female,Berlin,Germany,DE,Stockholm,Sweden,SE,NA,2,"""for her outstanding lyrical and dramatic writing which interprets Israel's destiny with touching strength """,Germany,Berlin,Sweden,Stockholm,NA,NA
641,Miguel Angel,Asturias,1967,Literature,NA,NA,NA,1899-10-19,1974-06-09,male,Guatemala City,Guatemala,GT,Madrid,Spain,ES,NA,1,"""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America""",Guatemala,Guatemala City,Spain,Madrid,NA,NA
642,Yasunari,Kawabata,1968,Literature,NA,NA,NA,1899-06-11,1972-04-16,male,Osaka,Japan,JP,Zushi,Japan,JP,NA,1,"""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind""",Japan,Osaka,Japan,Zushi,NA,NA
643,Samuel,Beckett,1969,Literature,NA,NA,NA,1906-04-13,1989-12-22,male,Dublin,Ireland,IE,Paris,France,FR,NA,1,"""for his writing which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",Ireland,Dublin,France,Paris,NA,NA
644,Alexandr,Solzhenitsyn,1970,Literature,NA,NA,NA,1918-12-11,2008-08-03,male,Kislovodsk,Russia,RU,Troitse-Lykovo,Russia,RU,NA,1,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",Russia,Kislovodsk,Russia,Troitse-Lykovo,NA,NA
645,Pablo,Neruda,1971,Literature,NA,NA,NA,1904-07-12,1973-09-23,male,Parral,Chile,CL,Santiago,Chile,CL,NA,1,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",Chile,Parral,Chile,Santiago,NA,NA
647,Heinrich,Böll,1972,Literature,NA,NA,NA,1917-12-21,1985-07-16,male,Cologne,Germany,DE,Bornheim-Merten,Germany,DE,NA,1,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",Germany,Cologne,West Germany (now Germany),Bornheim-Merten,NA,NA
648,Patrick,White,1973,Literature,NA,NA,NA,1912-05-28,1990-09-30,male,London,United Kingdom,GB,Sydney,Australia,AU,NA,1,"""for an epic and psychological narrative art which has introduced a new continent into literature""",United Kingdom,London,Australia,Sydney,NA,NA
649,Eyvind,Johnson,1974,Literature,NA,NA,NA,1900-07-29,1976-08-25,male,Svartbjörnsbyn,Sweden,SE,Stockholm,Sweden,SE,NA,2,"""for a narrative art far-seeing in lands and ages in the service of freedom""",Sweden,Svartbjörnsbyn,Sweden,Stockholm,NA,NA
650,Harry,Martinson,1974,Literature,NA,NA,NA,1904-05-06,1978-02-11,male,Jämshög,Sweden,SE,Stockholm,Sweden,SE,NA,2,"""for writings that catch the dewdrop and reflect the cosmos""",Sweden,Jämshög,Sweden,Stockholm,NA,NA
651,Eugenio,Montale,1975,Literature,NA,NA,NA,1896-10-12,1981-09-12,male,Genoa,Italy,IT,Milan,Italy,IT,NA,1,"""for his distinctive poetry which with great artistic sensitivity has interpreted human values under the sign of an outlook on life with no illusions""",Italy,Genoa,Italy,Milan,NA,NA
652,Saul,Bellow,1976,Literature,NA,NA,NA,1915-06-10,2005-04-05,male,Montreal,Canada,CA,Brookline MA,USA,US,NA,1,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",Canada,Montreal,USA,Brookline MA,NA,NA
653,Vicente,Aleixandre,1977,Literature,NA,NA,NA,1898-04-26,1984-12-14,male,Sevilla,Spain,ES,Madrid,Spain,ES,NA,1,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",Spain,Sevilla,Spain,Madrid,NA,NA
654,Isaac Bashevis,Singer,1978,Literature,NA,NA,NA,1904-07-14,1991-07-24,male,Leoncin,Poland,PL,Surfside FL,USA,US,NA,1,"""for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life""",Russian Empire (now Poland),Leoncin,USA,Surfside FL,NA,NA
655,Odysseus,Elytis,1979,Literature,NA,NA,NA,1911-11-02,1996-03-18,male,Iráklion,Greece,GR,Athens,Greece,GR,NA,1,"""for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",Crete (now Greece),Iráklion,Greece,Athens,NA,NA
657,Czeslaw,Milosz,1980,Literature,NA,NA,NA,1911-06-30,2004-08-14,male,Śeteniai,Lithuania,LT,Kraków,Poland,PL,NA,1,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",Russian Empire (now Lithuania),Śeteniai,Poland,Kraków,NA,NA
658,Elias,Canetti,1981,Literature,NA,NA,NA,1905-07-25,1994-08-14,male,Ruse,Bulgaria,BG,Zurich,Switzerland,CH,NA,1,"""for writings marked by a broad outlook a wealth of ideas and artistic power""",Bulgaria,Ruse,Switzerland,Zurich,NA,NA
659,Gabriel,García Márquez,1982,Literature,NA,NA,NA,1927-03-06,2014-04-17,male,Aracataca,Colombia,CO,Mexico City,Mexico,MX,NA,1,"""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts""",Colombia,Aracataca,Mexico,Mexico City,NA,NA
660,William,Golding,1983,Literature,NA,NA,NA,1911-09-19,1993-06-19,male,St. Columb Minor,United Kingdom,GB,Perranarworthal,United Kingdom,GB,NA,1,"""for his novels which with the perspicuity of realistic narrative art and the diversity and universality of myth illuminate the human condition in the world of today""",United Kingdom,St. Columb Minor,United Kingdom,Perranarworthal,NA,NA
661,Jaroslav,Seifert,1984,Literature,NA,NA,NA,1901-09-23,1986-01-10,male,Prague,Czech Republic,CZ,Prague,Czech Republic,CZ,NA,1,"""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",Austria-Hungary (now Czech Republic),Prague,Czechoslovakia (now Czech Republic),Prague,NA,NA
662,Claude,Simon,1985,Literature,NA,NA,NA,1913-10-10,2005-07-06,male,Antananarivo,Madagascar,MG,Paris,France,FR,NA,1,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",Madagascar,Tananarive (now Antananarivo),France,Paris,NA,NA
663,Wole,Soyinka,1986,Literature,NA,NA,NA,1934-07-13,NA,male,Abeokuta,Nigeria,NG,NA,NA,NA,NA,1,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",Nigeria,Abeokuta,NA,NA,NA,NA
664,Joseph,Brodsky,1987,Literature,NA,NA,NA,1940-05-24,1996-01-28,male,St. Petersburg,Russia,RU,New York NY,USA,US,NA,1,"""for an all-embracing authorship imbued with clarity of thought and poetic intensity""",USSR (now Russia),Leningrad (now St. Petersburg),USA,New York NY,NA,NA
665,Naguib,Mahfouz,1988,Literature,NA,NA,NA,1911-12-11,2006-08-30,male,Cairo,Egypt,EG,Cairo,Egypt,EG,NA,1,"""who through works rich in nuance - now clear-sightedly realistic now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",Egypt,Cairo,Egypt,Cairo,NA,NA
666,Camilo José,Cela,1989,Literature,NA,NA,NA,1916-05-11,2002-01-17,male,Iria Flavia,Spain,ES,Madrid,Spain,ES,NA,1,"""for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability""",Spain,Iria Flavia,Spain,Madrid,NA,NA
667,Octavio,Paz,1990,Literature,NA,NA,NA,1914-03-31,1998-04-19,male,Mexico City,Mexico,MX,Mexico City,Mexico,MX,NA,1,"""for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity""",Mexico,Mexico City,Mexico,Mexico City,NA,NA
668,Nadine,Gordimer,1991,Literature,NA,NA,NA,1923-11-20,2014-07-13,female,Springs,South Africa,ZA,Johannesburg,South Africa,ZA,NA,1,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",South Africa,Springs,South Africa,Johannesburg,NA,NA
669,Derek,Walcott,1992,Literature,NA,NA,NA,1930-01-23,2017-03-17,male,Castries,Saint Lucia,LC,Gros-Islet,Saint Lucia,LC,NA,1,"""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment""",Saint Lucia,Castries,Saint Lucia,Gros-Islet,NA,NA
670,Toni,Morrison,1993,Literature,NA,NA,NA,1931-02-18,2019-08-05,female,Lorain OH,USA,US,New York NY,USA,US,NA,1,"""who in novels characterized by visionary force and poetic import gives life to an essential aspect of American reality""",USA,Lorain OH,USA,New York NY,NA,NA
671,Kenzaburo,Oe,1994,Literature,NA,NA,NA,1935-01-31,NA,male,Uchiko,Japan,JP,NA,NA,NA,NA,1,"""who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today""",Japan,Uchiko,NA,NA,NA,NA
672,Seamus,Heaney,1995,Literature,NA,NA,NA,1939-04-13,2013-08-30,male,Casteldàwson,Northern Ireland,GB,Dublin,Ireland,IE,NA,1,"""for works of lyrical beauty and ethical depth which exalt everyday miracles and the living past""",Northern Ireland,Casteldàwson,Ireland,Dublin,NA,NA
673,Wislawa,Szymborska,1996,Literature,NA,NA,NA,1923-07-02,2012-02-01,female,Kórnik,Poland,PL,Kraków,Poland,PL,NA,1,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",Poland,Bnin (now Kórnik),Poland,Kraków,NA,NA
674,Dario,Fo,1997,Literature,NA,NA,NA,1926-03-24,2016-10-13,male,Leggiuno-Sangiano,Italy,IT,Milan,Italy,IT,NA,1,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",Italy,Leggiuno-Sangiano,Italy,Milan,NA,NA
675,José,Saramago,1998,Literature,NA,NA,NA,1922-11-16,2010-06-18,male,Azinhaga,Portugal,PT,Lanzarote,Spain,ES,NA,1,"""who with parables sustained by imagination compassion and irony continually enables us once again to apprehend an elusory reality""",Portugal,Azinhaga,Spain,Lanzarote,NA,NA
676,Günter,Grass,1999,Literature,NA,NA,NA,1927-10-16,2015-04-13,male,Gdansk,Poland,PL,Lübeck,Germany,DE,NA,1,"""whose frolicsome black fables portray the forgotten face of history""",Free City of Danzig (now Poland),Danzig (now Gdansk),Germany,Lübeck,NA,NA
677,Ragnar,Frisch,1969,Economics,University of Oslo,Oslo,Norway,1895-03-03,1973-01-31,male,Oslo,Norway,NO,Oslo,Norway,NO,NA,2,"""for having developed and applied dynamic models for the analysis of economic processes""",Norway,Oslo,Norway,Oslo,Oslo,Norway
678,Jan,Tinbergen,1969,Economics,The Netherlands School of Economics,Rotterdam,Netherlands,1903-04-12,1994-06-09,male,the Hague,Netherlands,NL,the Hague,Netherlands,NL,NA,2,"""for having developed and applied dynamic models for the analysis of economic processes""",the Netherlands,the Hague,the Netherlands,the Hague,Rotterdam,the Netherlands
679,Paul A.,Samuelson,1970,Economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1915-05-15,2009-12-13,male,Gary IN,USA,US,Belmont MA,USA,US,NA,1,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",USA,Gary IN,USA,Belmont MA,Cambridge MA,USA
680,Simon,Kuznets,1971,Economics,Harvard University,Cambridge MA,USA,1901-04-30,1985-07-08,male,Pinsk,Belarus,BY,Cambridge MA,USA,US,NA,1,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",Russian Empire (now Belarus),Pinsk,USA,Cambridge MA,Cambridge MA,USA
681,John R.,Hicks,1972,Economics,All Souls College,Oxford,United Kingdom,1904-04-08,1989-05-20,male,Warwick,United Kingdom,GB,Blockley,United Kingdom,GB,NA,2,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",United Kingdom,Warwick,United Kingdom,Blockley,Oxford,United Kingdom
682,Kenneth J.,Arrow,1972,Economics,Harvard University,Cambridge MA,USA,1921-08-23,2017-02-21,male,New York NY,USA,US,Palo Alto CA,USA,US,NA,2,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",USA,New York NY,USA,Palo Alto CA,Cambridge MA,USA
683,Wassily,Leontief,1973,Economics,Harvard University,Cambridge MA,USA,1906-08-05,1999-02-05,male,St. Petersburg,Russia,RU,New York NY,USA,US,NA,1,"""for the development of the input-output method and for its application to important economic problems""",Russia,St. Petersburg,USA,New York NY,Cambridge MA,USA
684,Gunnar,Myrdal,1974,Economics,NA,NA,NA,1898-12-06,1987-05-17,male,Skattungbyn,Sweden,SE,Stockholm,Sweden,SE,NA,2,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",Sweden,Skattungbyn,Sweden,Stockholm,NA,NA
685,Friedrich,von Hayek,1974,Economics,NA,NA,NA,1899-05-08,1992-03-23,male,Vienna,Austria,AT,Freiburg,Germany,DE,NA,2,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",Austria,Vienna,Germany,Freiburg,NA,NA
686,Leonid Vitaliyevich,Kantorovich,1975,Economics,Academy of Sciences,Moscow,Russia,1912-01-19,1986-04-07,male,St. Petersburg,Russia,RU,Moscow,Russia,RU,NA,2,"""for their contributions to the theory of optimum allocation of resources""",Russian Empire (now Russia),St. Petersburg,USSR (now Russia),Moscow,Moscow,USSR (now Russia)
687,Tjalling C.,Koopmans,1975,Economics,Yale University,New Haven CT,USA,1910-08-28,1985-02-26,male,'s Graveland,Netherlands,NL,New Haven CT,USA,US,NA,2,"""for their contributions to the theory of optimum allocation of resources""",the Netherlands,'s Graveland,USA,New Haven CT,New Haven CT,USA
688,Milton,Friedman,1976,Economics,University of Chicago,Chicago IL,USA,1912-07-31,2006-11-16,male,Brooklyn NY,USA,US,San Francisco CA,USA,US,NA,1,"""for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy""",USA,Brooklyn NY,USA,San Francisco CA,Chicago IL,USA
689,Bertil,Ohlin,1977,Economics,Stockholm School of Economics,Stockholm,Sweden,1899-04-23,1979-08-03,male,Klippan,Sweden,SE,Vålådalen,Sweden,SE,NA,2,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",Sweden,Klippan,Sweden,Vålådalen,Stockholm,Sweden
690,James E.,Meade,1977,Economics,University of Cambridge,Cambridge,United Kingdom,1907-06-23,1995-12-22,male,Swanage,United Kingdom,GB,Cambridge,United Kingdom,GB,NA,2,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",United Kingdom,Swanage,United Kingdom,Cambridge,Cambridge,United Kingdom
691,Herbert,Simon,1978,Economics,Carnegie Mellon University,Pittsburgh PA,USA,1916-06-15,2001-02-09,male,Milwaukee WI,USA,US,Pittsburgh PA,USA,US,NA,1,"""for his pioneering research into the decision-making process within economic organizations""",USA,Milwaukee WI,USA,Pittsburgh PA,Pittsburgh PA,USA
692,Theodore W.,Schultz,1979,Economics,University of Chicago,Chicago IL,USA,1902-04-30,1998-02-26,male,Arlington SD,USA,US,Evanston IL,USA,US,NA,2,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",USA,Arlington SD,USA,Evanston IL,Chicago IL,USA
693,Sir Arthur,Lewis,1979,Economics,Princeton University,Princeton NJ,USA,1915-01-23,1991-06-15,male,Castries,Saint Lucia,LC,Bridgetown,Barbados,BB,NA,2,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",British West Indies (now Saint Lucia),Castries,Barbados,Bridgetown,Princeton NJ,USA
694,Lawrence R.,Klein,1980,Economics,University of Pennsylvania,Philadelphia PA,USA,1920-09-14,2013-10-20,male,Omaha NE,USA,US,Gladwyne PA,USA,US,NA,1,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",USA,Omaha NE,USA,Gladwyne PA,Philadelphia PA,USA
695,James,Tobin,1981,Economics,Yale University,New Haven CT,USA,1918-03-05,2002-03-11,male,Champaign IL,USA,US,New Haven CT,USA,US,NA,1,"""for his analysis of financial markets and their relations to expenditure decisions employment production and prices""",USA,Champaign IL,USA,New Haven CT,New Haven CT,USA
696,George J.,Stigler,1982,Economics,University of Chicago,Chicago IL,USA,1911-01-17,1991-12-01,male,Renton WA,USA,US,Chicago IL,USA,US,NA,1,"""for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation""",USA,Renton WA,USA,Chicago IL,Chicago IL,USA
697,Gerard,Debreu,1983,Economics,University of California,Berkeley CA,USA,1921-07-04,2004-12-31,male,Calais,France,FR,Paris,France,FR,NA,1,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",France,Calais,France,Paris,Berkeley CA,USA
698,Richard,Stone,1984,Economics,University of Cambridge,Cambridge,United Kingdom,1913-08-30,1991-12-06,male,London,United Kingdom,GB,Cambridge,United Kingdom,GB,NA,1,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",United Kingdom,London,United Kingdom,Cambridge,Cambridge,United Kingdom
699,Franco,Modigliani,1985,Economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1918-06-18,2003-09-25,male,Rome,Italy,IT,Cambridge MA,USA,US,NA,1,"""for his pioneering analyses of saving and of financial markets""",Italy,Rome,USA,Cambridge MA,Cambridge MA,USA
700,James M.,Buchanan Jr.,1986,Economics,Center for Study of Public Choice,Fairfax VA,USA,1919-10-03,2013-01-09,male,Murfreesboro TN,USA,US,Blacksburg VA,USA,US,NA,1,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",USA,Murfreesboro TN,USA,Blacksburg VA,Fairfax VA,USA
701,Robert M.,Solow,1987,Economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1924-08-23,NA,male,Brooklyn NY,USA,US,NA,NA,NA,NA,1,"""for his contributions to the theory of economic growth""",USA,Brooklyn NY,NA,NA,Cambridge MA,USA
702,Maurice,Allais,1988,Economics,École Nationale Supérieur des Mines de Paris,Paris,France,1911-05-31,2010-10-09,male,Paris,France,FR,Paris,France,FR,NA,1,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",France,Paris,France,Paris,Paris,France
703,Trygve,Haavelmo,1989,Economics,University of Oslo,Oslo,Norway,1911-12-13,1999-07-26,male,Skedsmo,Norway,NO,Oslo,Norway,NO,NA,1,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",Norway,Skedsmo,Norway,Oslo,Oslo,Norway
704,Harry M.,Markowitz,1990,Economics,City University of New York,New York NY,USA,1927-08-24,NA,male,Chicago IL,USA,US,NA,NA,NA,NA,3,"""for their pioneering work in the theory of financial economics""",USA,Chicago IL,NA,NA,New York NY,USA
705,Merton H.,Miller,1990,Economics,University of Chicago,Chicago IL,USA,1923-05-16,2000-06-03,male,Boston MA,USA,US,Chicago IL,USA,US,NA,3,"""for their pioneering work in the theory of financial economics""",USA,Boston MA,USA,Chicago IL,Chicago IL,USA
706,William F.,Sharpe,1990,Economics,Stanford University,Stanford CA,USA,1934-06-16,NA,male,Boston MA,USA,US,NA,NA,NA,NA,3,"""for their pioneering work in the theory of financial economics""",USA,Boston MA,NA,NA,Stanford CA,USA
707,Ronald H.,Coase,1991,Economics,University of Chicago,Chicago IL,USA,1910-12-29,2013-09-02,male,Willesden,United Kingdom,GB,Chicago IL,USA,US,NA,1,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",United Kingdom,Willesden,USA,Chicago IL,Chicago IL,USA
708,Gary,Becker,1992,Economics,University of Chicago,Chicago IL,USA,1930-12-02,2014-05-03,male,Pottsville PA,USA,US,Chicago IL,USA,US,NA,1,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour""",USA,Pottsville PA,USA,Chicago IL,Chicago IL,USA
709,Robert W.,Fogel,1993,Economics,University of Chicago,Chicago IL,USA,1927-07-01,2013-06-11,male,New York NY,USA,US,Oak Lawn IL,USA,US,NA,2,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",USA,New York NY,USA,Oak Lawn IL,Chicago IL,USA
710,Douglass C.,North,1993,Economics,Washington University,St. Louis MO,USA,1920-11-05,2015-11-23,male,Cambridge MA,USA,US,Benzonia MI,USA,US,NA,2,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",USA,Cambridge MA,USA,Benzonia MI,St. Louis MO,USA
711,John C.,Harsanyi,1994,Economics,University of California,Berkeley CA,USA,1920-05-29,2000-08-09,male,Budapest,Hungary,HU,Berkeley CA,USA,US,NA,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Hungary,Budapest,USA,Berkeley CA,Berkeley CA,USA
712,John F.,Nash Jr.,1994,Economics,Princeton University,Princeton NJ,USA,1928-06-13,2015-05-23,male,Bluefield WV,USA,US,New Jersey NJ,USA,US,NA,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",USA,Bluefield WV,USA,New Jersey NJ,Princeton NJ,USA
713,Reinhard,Selten,1994,Economics,Rheinische Friedrich-Wilhelms-Universität,Bonn,Germany,1930-10-05,2016-08-23,male,Wroclaw,Poland,PL,Poznan,Poland,PL,NA,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Germany (now Poland),Breslau (now Wroclaw),Poland,Poznan,Bonn,Germany
714,Robert E.,Lucas Jr.,1995,Economics,University of Chicago,Chicago IL,USA,1937-09-15,NA,male,Yakima WA,USA,US,NA,NA,NA,NA,1,"""for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",USA,Yakima WA,NA,NA,Chicago IL,USA
715,James A.,Mirrlees,1996,Economics,University of Cambridge,Cambridge,United Kingdom,1936-07-05,2018-08-29,male,Minnigaff,Scotland,GB,Cambridge,United Kingdom,GB,NA,2,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",Scotland,Minnigaff,United Kingdom,Cambridge,Cambridge,United Kingdom
716,William,Vickrey,1996,Economics,Columbia University,New York NY,USA,1914-06-21,1996-10-11,male,Victoria BC,Canada,CA,Harrison NY,USA,US,NA,2,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",Canada,Victoria BC,USA,Harrison NY,New York NY,USA
717,Robert C.,Merton,1997,Economics,Harvard University,Cambridge MA,USA,1944-07-31,NA,male,New York NY,USA,US,NA,NA,NA,NA,2,"""for a new method to determine the value of derivatives""",USA,New York NY,NA,NA,Cambridge MA,USA
718,Myron,Scholes,1997,Economics,Long Term Capital Management,Greenwich CT,USA,1941-07-01,NA,male,Timmins ON,Canada,CA,NA,NA,NA,NA,2,"""for a new method to determine the value of derivatives""",Canada,Timmins ON,NA,NA,Greenwich CT,USA
719,Amartya,Sen,1998,Economics,Trinity College,Cambridge,United Kingdom,1933-11-03,NA,male,Santiniketan,India,IN,NA,NA,NA,NA,1,"""for his contributions to welfare economics""",India,Santiniketan,NA,NA,Cambridge,United Kingdom
720,Robert,Mundell,1999,Economics,Columbia University,New York NY,USA,1932-10-24,NA,male,Kingston ON,Canada,CA,NA,NA,NA,NA,1,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",Canada,Kingston ON,NA,NA,New York NY,USA
722,Arvid,Carlsson,2000,Medicine,Göteborg University,Gothenburg,Sweden,1923-01-25,2018-06-29,male,Uppsala,Sweden,SE,Gothenburg,Sweden,SE,NA,3,"""for their discoveries concerning signal transduction in the nervous system""",Sweden,Uppsala,Sweden,Gothenburg,Gothenburg,Sweden
723,Paul,Greengard,2000,Medicine,Rockefeller University,New York NY,USA,1925-12-11,2019-04-13,male,New York NY,USA,US,New York NY,USA,US,NA,3,"""for their discoveries concerning signal transduction in the nervous system""",USA,New York NY,USA,New York NY,New York NY,USA
724,Eric,Kandel,2000,Medicine,Columbia University,New York NY,USA,1929-11-07,NA,male,Vienna,Austria,AT,NA,NA,NA,NA,3,"""for their discoveries concerning signal transduction in the nervous system""",Austria,Vienna,NA,NA,New York NY,USA
725,Kim,Dae-jung,2000,Peace,NA,NA,NA,1925-12-03,2009-08-18,male,Mokpo,South Korea,KR,NA,NA,NA,NA,1,"""for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular""",Korea (now South Korea),Mokpo,NA,NA,NA,NA
732,James J.,Heckman,2000,Economics,University of Chicago,Chicago IL,USA,1944-04-19,NA,male,Chicago IL,USA,US,NA,NA,NA,NA,2,"""for his development of theory and methods for analyzing selective samples""",USA,Chicago IL,NA,NA,Chicago IL,USA
